id,title,filtered_words_str,label
R129,New Report on Election,"truth,service,hot,security,consumer,study,physical.,particularly,eight,share.,none,answer,less,piece,manage,capital,night,church.,experts,discuss,ongoing,developments,election.",REAL
R227,New Report on Climate Change,"buy,conference,boy,test,policy,give.,identify,child,raise,deep,write.,write,dream,suffer,people,letter,trial.,experts,discuss,ongoing,developments,climate,change.",REAL
F231,Aliens Confirmed by Sources,"statement,american,available,majority.,course,lead,rich.,—,shocking,claims,aliens,surface,internet.",FAKE
R066,New Report on Policy,"let,accept,save,road.,present,like,benefit,green,however.,experts,discuss,ongoing,developments,policy.",REAL
F095,Mind Control Confirmed by Sources,"environmental,society,company,house,plant.,hope,american,dark.,attention,bar,point,store,majority.,—,shocking,claims,mind,control,surface,internet.",FAKE
R174,New Report on Policy,"big,create,people,wife,hour,difference,issue.,late,control,bring,teacher,home.,join,step,increase,follow,scene.,financial,education,minute,order,however,green.,experts,discuss,ongoing,developments,policy.",REAL
R201,New Report on Public Health,"either,method,factor,forget,allow,trouble.,forget,work,picture,finally,build,guess.,experts,discuss,ongoing,developments,public,health.",REAL
R072,New Report on Education,"adult,deal,provide,great,life.,player,environment,treatment,simply,put,sing.,laugh,night,possible,similar,seem.,particularly,like,rise,leader,report,today,dinner.,experts,discuss,ongoing,developments,education.",REAL
R064,New Report on Research,"black,somebody,tv,base,wonder,reason,herself.,whose,help,rest,answer,husband,country.,environmental,official,think,house,former,response,parent,record.,else,establish,position,low,dark,receive,direction.,experts,discuss,ongoing,developments,research.",REAL
F037,Miracle Drug Confirmed by Sources,"sit,interview,cultural,son.,wrong,play,information,whatever.,appear,mention,threat,physical,note,economic.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
R170,New Report on Technology Breakthrough,"tax.,whatever,recent,brother,level,tend.,experts,discuss,ongoing,developments,technology,breakthrough.",REAL
F110,Celebrity Scandal Confirmed by Sources,"safe,many,since,college,order.,ahead,glass,reality,by.,far,market,ever,third.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
F048,Secret Cure Confirmed by Sources,"thousand,area,week,foot.,service,answer,arm,opportunity,certainly,paper,leg.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F082,Hoax Confirmed by Sources,"various,agent,education,note,imagine.,brother,real,try.,safe,full,condition,girl,party.,—,shocking,claims,hoax,surface,internet.",FAKE
F187,Miracle Drug Confirmed by Sources,"instead,rather,single,peace.,huge,move,free,management,kind,city.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F027,Miracle Drug Confirmed by Sources,"else,light,center,develop,else,people.,deep,skin,wear.,machine,though,theory,fish.,—,shocking,claims,miracle,drug,surface,internet.",FAKE
F202,Hoax Confirmed by Sources,"run,control,quite.,current,poor,suddenly,step,world,brother.,—,shocking,claims,hoax,surface,internet.",FAKE
F197,Secret Cure Confirmed by Sources,"next,risk,common,character,rather,ability.,—,shocking,claims,secret,cure,surface,internet.",FAKE
R128,New Report on Climate Change,"serve,father,five,often,become,enter.,democratic,defense,question,wear,entire.,similar,better,although,make,order.,experts,discuss,ongoing,developments,climate,change.",REAL
F157,Government Cover-Up Confirmed by Sources,"year,adult,wall,show,where.,use,talk,hope,bank.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F117,Hoax Confirmed by Sources,"including,unit,become,popular,station.,hot,job,heart,believe,almost.,talk,small,eight,career,left.,glass,participant,site,lawyer.,—,shocking,claims,hoax,surface,internet.",FAKE
F173,Secret Cure Confirmed by Sources,"drop,specific,fall.,order,range,successful,black,produce.,ready,cost,available,girl,treatment,example,mention.,—,shocking,claims,secret,cure,surface,internet.",FAKE
F024,Aliens Confirmed by Sources,"century,threat,defense,probably,figure,rather.,run,support,phone,feeling,similar,mind.,high,consider,suffer,friend,glass,attention.,—,shocking,claims,aliens,surface,internet.",FAKE
F096,Celebrity Scandal Confirmed by Sources,"throughout,government,story,ago.,line,letter,one,window.,face,thought,never,contain,strategy,every.,—,shocking,claims,celebrity,scandal,surface,internet.",FAKE
R247,New Report on Public Health,"police,president,care,anything,crime,ball,industry,capital.,focus,third,cause,chair,sit,before.,certainly,serious,tree,increase,relationship,deep.,experts,discuss,ongoing,developments,public,health.",REAL
F226,Government Cover-Up Confirmed by Sources,"focus,support,time,pull,glass,rest.,ok,instead.,officer,better,cell,measure,past.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F100,Flat Earth Confirmed by Sources,"similar,nice,response,land,important,cell,even,forget.,doctor,check,break,garden.,—,shocking,claims,flat,earth,surface,internet.",FAKE
F246,Government Cover-Up Confirmed by Sources,"woman,begin,official,conference.,different,employee,speak,view,attention,yes.,decade,reduce,hear,push.,—,shocking,claims,government,cover-up,surface,internet.",FAKE
F183,Aliens Confirmed by Sources,"billion,high,hair,certain,measure.,character,pass,nation,notice,away,maybe.,—,shocking,claims,aliens,surface,internet.",FAKE
R063,New Report on Policy,"another,free,tend,easy.,test,decision,camera.,idea,third,onto,side,bag.,experts,discuss,ongoing,developments,policy.",REAL
